Item,Reference,Estimate
country.00032.jams,50.0,97.23
country.00036.jams,114.0,56.79
country.00043.jams,70.0,138.85
country.00044.jams,40.0,78.43
country.00046.jams,79.0,157.42
country.00048.jams,60.0,117.86
country.00049.jams,57.0,114.58
country.00055.jams,66.0,132.53
country.00056.jams,82.0,41.25
country.00069.jams,38.0,56.64
country.00079.jams,41.0,81.25
country.00091.jams,115.0,57.19
country.00097.jams,38.0,56.69
disco.00041.jams,53.0,79.74
disco.00043.jams,65.0,127.99
disco.00047.jams,60.0,62.79
disco.00053.jams,70.0,139.48
disco.00072.jams,68.0,137.12
disco.00075.jams,66.0,132.72
disco.00086.jams,63.0,125.46
disco.00094.jams,69.0,138.75
hiphop.00010.jams,100.0,95.86
hiphop.00030.jams,90.0,205.35
hiphop.00044.jams,57.0,116.4
hiphop.00081.jams,102.0,204.35
hiphop.00084.jams,114.0,143.24
hiphop.00094.jams,74.0,148.08
jazz.00001.jams,75.0,68.74
jazz.00002.jams,99.0,48.82
jazz.00009.jams,61.0,56.74
jazz.00011.jams,102.0,201.7
jazz.00013.jams,148.0,73.53
jazz.00014.jams,58.0,62.74
jazz.00017.jams,108.0,205.34
jazz.00018.jams,102.0,204.49
jazz.00019.jams,90.0,61.46
jazz.00021.jams,122.0,61.82
jazz.00025.jams,101.0,202.81
jazz.00026.jams,55.0,65.96
jazz.00028.jams,100.0,200.32
jazz.00029.jams,108.0,113.2
jazz.00030.jams,54.0,64.94
jazz.00031.jams,149.0,83.9
jazz.00044.jams,52.0,103.95
jazz.00047.jams,106.0,69.72
jazz.00049.jams,80.0,73.15
jazz.00052.jams,100.0,53.35
jazz.00056.jams,120.0,125.4
jazz.00058.jams,120.0,125.33
jazz.00059.jams,106.0,53.16
jazz.00061.jams,91.0,179.58
jazz.00064.jams,102.0,204.08
jazz.00065.jams,99.0,198.74
jazz.00067.jams,96.0,101.29
jazz.00086.jams,104.0,53.27
jazz.00088.jams,65.0,128.82
jazz.00090.jams,45.0,68.02
jazz.00094.jams,59.0,119.81
jazz.00099.jams,69.0,136.05
metal.00001.jams,158.0,78.28
metal.00005.jams,154.0,76.86
metal.00006.jams,122.0,59.92
metal.00007.jams,152.0,70.55
metal.00011.jams,165.0,81.44
metal.00020.jams,118.0,102.25
metal.00032.jams,80.0,86.76
metal.00036.jams,70.0,140.61
metal.00037.jams,70.0,138.0
metal.00052.jams,80.0,157.63
metal.00057.jams,64.0,128.56
metal.00068.jams,82.0,164.16
metal.00080.jams,82.0,164.06
metal.00083.jams,60.0,117.93
metal.00084.jams,75.0,148.09
metal.00086.jams,62.0,122.52
metal.00089.jams,38.0,76.34
metal.00092.jams,116.0,57.49
pop.00005.jams,86.0,55.48
pop.00032.jams,100.0,95.08
pop.00053.jams,64.0,40.58
pop.00064.jams,125.0,130.61
pop.00065.jams,58.0,114.91
pop.00066.jams,82.0,41.0
pop.00068.jams,64.0,129.02
pop.00070.jams,63.0,124.94
pop.00073.jams,64.0,128.26
pop.00079.jams,56.0,113.52
pop.00083.jams,62.0,123.98
pop.00086.jams,66.0,132.56
reggae.00003.jams,74.0,147.7
reggae.00009.jams,79.0,157.51
reggae.00011.jams,63.0,126.34
reggae.00014.jams,65.0,131.41
reggae.00017.jams,63.5,126.96
reggae.00020.jams,64.0,127.62
reggae.00022.jams,74.0,147.48
reggae.00023.jams,65.0,129.69
reggae.00024.jams,70.0,139.24
reggae.00025.jams,60.0,120.68
reggae.00026.jams,69.0,137.87
reggae.00027.jams,68.0,135.15
reggae.00028.jams,79.0,156.97
reggae.00029.jams,76.0,150.14
reggae.00030.jams,76.0,151.29
reggae.00032.jams,75.0,150.16
reggae.00035.jams,83.0,163.77
reggae.00037.jams,77.0,151.96
reggae.00040.jams,93.0,55.8
reggae.00042.jams,60.0,120.41
reggae.00045.jams,81.0,162.99
reggae.00047.jams,74.0,147.03
reggae.00053.jams,76.0,152.14
reggae.00054.jams,74.0,147.71
reggae.00058.jams,62.0,122.8
reggae.00060.jams,57.0,114.49
reggae.00068.jams,68.0,137.18
reggae.00077.jams,74.0,147.53
reggae.00086.jams,68.0,nan
reggae.00089.jams,75.0,149.81
reggae.00094.jams,64.0,127.18
reggae.00095.jams,62.0,123.33
reggae.00097.jams,53.0,78.9
reggae.00098.jams,60.0,120.89
reggae.00099.jams,60.0,117.9
rock.00000.jams,121.0,60.81
rock.00013.jams,92.0,58.86
rock.00016.jams,145.0,72.66
rock.00024.jams,148.0,73.96
rock.00026.jams,114.0,56.43
rock.00028.jams,70.0,138.31
rock.00038.jams,67.0,133.0
rock.00040.jams,114.0,54.0
rock.00042.jams,82.0,162.34
rock.00048.jams,66.0,131.22
rock.00052.jams,49.0,96.82
rock.00054.jams,109.0,54.14
rock.00055.jams,65.0,130.95
rock.00056.jams,70.0,138.53
rock.00064.jams,153.0,75.89
rock.00065.jams,62.0,124.05
rock.00068.jams,122.0,62.08
rock.00069.jams,85.0,56.4
rock.00074.jams,56.0,112.39
rock.00076.jams,48.0,95.84
rock.00079.jams,62.0,125.03
rock.00080.jams,59.0,117.75
rock.00084.jams,65.0,129.32
rock.00087.jams,66.0,131.87
rock.00090.jams,61.0,121.29
rock.00092.jams,65.0,131.49
rock.00095.jams,52.0,103.01
rock.00096.jams,58.0,117.04
rock.00097.jams,64.0,127.95
rock.00098.jams,55.0,110.8
rock.00099.jams,122.0,61.72
